機構代碼,機構名稱,電話,縣市區名,地址,科別,1語言治療師,2牙體技術師,3聽力師,4牙體技術士,5驗光師,6驗光生,A醫師,B中醫師,C牙醫師,D藥師,E藥劑生,F護理師,G護士,H助產士,I助產師,J醫事檢驗師,K醫事檢驗生,Q物理治療師,R職能治療師,S醫事放射師,T醫事放射士,U物理治療生,W職能治療生,V呼吸治療師,X諮商心理師,Y臨床心理師,Z營養師,區名,緯度,經度
1531010279,板橋中興醫院,229590707,新北市板橋區,新北市板橋區忠孝路十五號,"醫學中心,",0,0,0,0,0,0,14,0,0,7,0,53,10,0,0,7,0,4,1,6,1,0,0,1,0,0,1,板橋區,25.0023693,121.4634062
1131010011,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,(02)  89667000,新北市板橋區,新北市板橋區南雅南路二段21號及高爾富路300號,"醫學中心,",15,1,5,0,6,1,628,3,29,100,0,1871,44,0,0,91,0,34,26,105,0,3,0,28,5,16,20,板橋區,24.997236,121.4532954
131020016,新北市立聯合醫院,(02)29829111,新北市三重區,新北市三重區新北大道1段3號、3之1號,"醫學中心,",4,0,1,0,2,0,90,5,3,36,0,388,16,1,0,24,1,13,8,33,0,1,0,6,0,6,7,三重區,25.0609301,121.4902027
1231030015,天主教耕莘醫療財團法人永和耕莘醫院,(02)29286060,新北市永和區,新北市永和區中興街80號地下1樓至地上6樓及國光路123號地下3樓至地上11樓,"醫學中心,",4,0,2,0,0,0,93,2,5,29,2,289,26,1,0,25,0,16,6,24,0,1,0,2,0,2,4,永和區,25.0118281,121.5179183
1331040513,衛生福利部雙和醫院(委託臺北醫學大學興建經營),22490088,新北市中和區,新北市中和區中正路291號醫療大樓地下2層至地上12層、中和區圓通路301號教學研究大樓及生醫科技大樓2幢,"醫學中心,",9,3,5,0,1,0,565,0,43,107,0,1434,25,0,0,79,1,28,22,90,0,2,0,39,0,13,22,中和區,24.9926989,121.4935259
1131050515,佛教慈濟醫療財團法人台北慈濟醫院,(02)66289779,新北市新店區,新北市新店區建國路277號地上1、3、4樓及289號地下1至3樓至地上1至15樓,"醫學中心,",7,0,4,0,3,1,394,27,23,99,0,1066,34,0,0,66,0,18,15,55,0,0,0,22,1,11,16,新店區,24.984117,121.535615
1231050017,天主教耕莘醫療財團法人耕莘醫院,02 2193391,新北市新店區,新北市新店區中正路362號,"醫學中心,",6,0,5,0,0,1,285,1,17,58,0,735,37,0,2,81,1,19,13,67,0,1,0,17,0,8,13,新店區,24.976293,121.5357523
131060029,衛生福利部臺北醫院,02 2765566,新北市新莊區,新北市新莊區思源路127號、長青街6號2樓、3樓,"醫學中心,",6,0,2,0,2,0,128,5,4,41,0,588,18,0,0,33,0,18,15,39,0,0,0,12,0,6,7,新莊區,25.0424421,121.4576969
131060010,衛生福利部樂生療養院,02  82006600,新北市新莊區,新北市新莊區中正路794號及桃園縣龜山鄉萬壽路1段50巷2號,"醫學中心,",3,0,1,0,0,0,31,4,1,11,2,138,8,0,0,13,0,15,7,8,0,0,2,3,0,1,3,新莊區,25.0224955,121.4089468
1531061249,新泰綜合醫院,,新北市新莊區,新北市新莊區新樹路176號,"醫學中心,",4,0,0,0,0,0,34,0,0,10,0,123,16,0,0,14,0,7,10,11,0,0,0,3,0,1,2,新莊區,25.0214551,121.4343264
1131090019,行天宮醫療志業醫療財團法人恩主公醫院,(02)26723456,新北市三峽區,新北市三峽區復興路399號、中山路198、258號,"醫學中心,",6,0,2,0,1,1,146,14,16,47,1,594,22,0,1,31,1,11,17,38,0,0,0,13,0,7,8,三峽區,24.9383661,121.3630686
1131100010,台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院,02 8094661,新北市淡水區,新北市淡水區民生路四十五號、民權路47號B1~11樓,"醫學中心,",4,0,3,0,0,0,270,4,12,59,0,1111,14,0,1,86,0,12,9,64,0,0,0,38,6,5,15,淡水區,25.1387918,121.461733
1131110516,國泰醫療財團法人汐止國泰綜合醫院,26482121,新北市汐止區,新北市汐止區建成路59巷2號地下4樓至地上12樓,"醫學中心,",4,0,2,0,1,1,81,0,13,35,0,586,17,0,0,27,0,16,11,35,0,2,0,11,0,6,5,汐止區,25.0729852,121.6609281
1131130018,新北市立土城醫院(委託長庚醫療財團法人興建經營),222630588,新北市土城區,新北市土城區金城路二段6號,"醫學中心,",4,1,2,0,2,0,202,5,11,42,0,668,6,0,0,32,0,8,6,35,0,0,0,18,0,4,7,土城區,24.9759891,121.4487425
1331160010,輔仁大學學校財團法人輔仁大學附設醫院,(02)85128888,新北市泰山區,新北市泰山區貴子路69號(地下4層、地上1至13層、15層),"醫學中心,",7,0,4,0,3,0,237,0,9,61,0,795,9,0,0,48,0,17,9,50,0,0,0,28,0,8,11,泰山區,25.0404811,121.4314868
431270012,國立臺灣大學醫學院附設醫院金山分院,24989898,新北市金山區,新北市金山區五湖里玉爐路7號,"醫學中心,",1,0,0,0,0,0,30,0,1,6,0,61,1,0,0,6,1,3,3,6,0,1,0,0,0,1,1,金山區,25.2197079,121.621016
